,,,Spreadsheet Map,,,,,,,,,,,,,,
,글씨,handwriting,,,,,잔,cup,,가곡,"traditional song, classical song (old)",,,,,,
,글자,"letter, characters (of a language)",,주인,"owner, employer, landlord",,찻잔,teacup,,아리랑,"traditional Korean song ""Arirang""",,지갑,wallet,,,
,문자,"letters, characters, alphabet, writing system; big words; text message",,집주인,"house owner, landlord, landlady",,숟가락,spoon,,재즈,jazz,,가방,bag,,,
,문장,sentence; a good writer; crest,,재벌,"conglomerate, extremely wealthy group",,,,,피아노,piano,,주머니,"pocket; bag, pouch; being full of (person full of)",,,
,예문,example in sentence(s),,부동산,"real estate, property, real estate agent",,가구,furniture; household,,악기,musical instrument,,호주머니,pocket (less common),,,
,,,,비서,"secretary, personal assistant",,테이블,table,,기타,guitar; etc,,벨트,belt (load/more common),,,
,문구,"writing supplies; phrase, sentence, expression",,,,,의자,chair,,,,,배낭,backpack,,,
,공책,notebook,,월차,monthly leave,,옷장,"wardrobe, closet",,,,,봉투,"envelope, bag",,,
,페이지,page,,퇴근,"leave work, get off work",,서랍,drawer,,스포츠,sports,,장갑,(pair of) gloves,,,
,계산기,calculator,,퇴근시간,closing time,,선반,"shelf, rack",,게임,game,,모자,"hat, cap; mother and son",,,
,책상,desk,,과로,"overwork, working too much, excessive labor",,옷걸이,"coat hanger, hanger",,경쟁,"competition, contest, rivalry",,안경,"glasses, eyeglasses",,,
,연필,pencil,,회의실,"meeting room, conference room",,식탁,dining table,,경쟁사,"competitor, rival company",,선글라스,sunglasses,,,
,펜,pen,,회의,"(business) meeting, conference; doubt (about), skepticism",,탁자,(small) table,,도전,challenge,,목걸이,"necklace, choker",,,
,만년필,fountain pen,,모임,"meeting, gathering, get-together; group, association",,소파,"sofa, couch",,올림픽,Olympics,,목도리,scarf,,,
,필통,pencil case,,만남,meeting (2 or more parties coming together),,다리미,clothes iron,,노래자랑,singing contest,,스카프,scarf (more common),,,
,지우개,"eraser, rubber",,회식,"dining together (among colleagues), group dinner",,청소,cleaning,,승자,winner,,반지,ring,,,
,,,,그룹,group (people who do something together),,청소기,vacuum cleaner,,팀,team,,귀걸이,earring,,,
,사전,dictionary,,집단,"group, body (interchangeable with 그룹)(group or organization that consists of two or more people)",,세탁기,washing machine,,선수,"player, athlete, professional, master; lead (action before others)",,팔찌,"bracelet, wristlet",,,
